Prep Date,Read Date,Read Time,TimePoint,Treatment,Temperature,Family,Cross,CrossPop,Mom,Plate Number,Well Replicate,Settled,SettledPercentage,Metamorphosed but not settled,Not settled,Total count
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F27,E3 x E4,ExE,EskMom,14,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F27,E3 x E4,ExE,EskMom,14,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F28,D16 x E3,DxE,DaviesMom,3,1,5,50,5,0,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F28,D16 x E3,DxE,DaviesMom,3,2,5,83.33333333,1,0,6
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F28,D16 x E3,DxE,DaviesMom,3,3,9,100,0,0,9
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F28,D16 x E3,DxE,DaviesMom,26,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F28,D16 x E3,DxE,DaviesMom,26,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F28,D16 x E3,DxE,DaviesMom,26,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F28,D16 x E3,DxE,DaviesMom,27,1,8,80,1,1,10
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F28,D16 x E3,DxE,DaviesMom,27,2,6,66.66666667,0,3,9
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F28,D16 x E3,DxE,DaviesMom,27,3,10,90.90909091,0,1,11
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F28,D16 x E3,DxE,DaviesMom,43,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F28,D16 x E3,DxE,DaviesMom,43,2,0,0,0,2,2
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F28,D16 x E3,DxE,DaviesMom,43,3,1,100,0,0,1
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F29,D12 x E3,DxE,DaviesMom,9,1,2,22.22222222,4,3,9
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F29,D12 x E3,DxE,DaviesMom,9,2,0,0,0,10,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F29,D12 x E3,DxE,DaviesMom,9,3,6,75,2,0,8
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F29,D12 x E3,DxE,DaviesMom,21,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F29,D12 x E3,DxE,DaviesMom,21,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F29,D12 x E3,DxE,DaviesMom,21,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F3,E5 x D16,ExD,EskMom,63,1,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F3,E5 x D16,ExD,EskMom,63,2,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F3,E5 x D16,ExD,EskMom,63,3,0,0,0,0,0
