Cross,Populationcross,Mom,Dad,Temperature,Roff.mean,Parentalphen.mean,h2.y,Parental.des,S.x,R.z
K6xE2,KxE,KeppelsMom,EskDad,27.5C,92.22222222,63.46153846,1.08373591,90,26.53846154,28.76068376
K7xK6,KxK,KeppelsMom,KeppelsDad,35.5C,69.13978495,40.00000000,0.582795699,90,50,29.13978495
K3xD16,KxD,KeppelsMom,DaviesDad,35.5C,65.55555555,35.85365854,0.548548549,90,54.14634146,29.70189702
E5xE4,ExE,EskMom,EskDad,27.5C,64.44444445,34.61538462,0.538580247,90,55.38461538,29.82905983
E4xD16,ExD,EskMom,DaviesDad,35.5C,56.4874552,25.85365854,0.477561089,90,64.14634146,30.63379666
K3xD20,KxD,KeppelsMom,DaviesDad,35.5C,66.66666667,35.85365854,0.569069069,90,54.14634146,30.81300813
E4xK6,ExK,EskMom,KeppelsDad,35.5C,61.11111111,30.00000000,0.518518519,90,60,31.11111111
K1xE1,KxE,KeppelsMom,EskDad,35.5C,61.39784946,30.00000000,0.523297491,90,60,31.39784946
D20xD12,DxD,DaviesMom,DaviesDad,35.5C,63.33333333,31.70731707,0.542538354,90,58.29268293,31.62601626
D16xK9,DxK,DaviesMom,KeppelsDad,35.5C,67.77777778,35.85365854,0.58958959,90,54.14634146,31.92411924
E4xD10,ExD,EskMom,DaviesDad,35.5C,58.02867383,25.85365854,0.501587691,90,64.14634146,32.1750153
D12xE4,DxE,DaviesMom,EskDad,35.5C,59.82078853,25.85365854,0.529525601,90,64.14634146,33.96712999
K6xE2,KxE,KeppelsMom,EskDad,35.5C,64.44444444,30.00000000,0.574074074,90,60,34.44444444
D16xD20,DxD,DaviesMom,DaviesDad,35.5C,70,31.70731707,0.656903766,90,58.29268293,38.29268293
E3xE4,ExE,EskMom,EskDad,27.5C,73.40501792,34.61538462,0.700368379,90,55.38461538,38.7896333
E5xE3,ExE,EskMom,EskDad,27.5C,74.44444444,34.61538462,0.719135802,90,55.38461538,39.82905983
E4xK8,ExK,EskMom,KeppelsDad,35.5C,71.59722222,30.00000000,0.693287037,90,60,41.59722222
E2xK4,ExK,EskMom,KeppelsDad,35.5C,72.22222222,30.00000000,0.703703704,90,60,42.22222222
K1xK6,KxK,KeppelsMom,KeppelsDad,35.5C,82.22222222,40.00000000,0.844444444,90,50,42.22222222
D11xK6,DxK,DaviesMom,KeppelsDad,35.5C,78.88888889,35.85365854,0.794794795,90,54.14634146,43.03523035
D16xK3,DxK,DaviesMom,KeppelsDad,35.5C,78.88888889,35.85365854,0.794794795,90,54.14634146,43.03523035
K7xE4,KxE,KeppelsMom,EskDad,35.5C,73.33333333,30.00000000,0.722222222,90,60,43.33333333
E4xK1,ExK,EskMom,KeppelsDad,35.5C,73.33333334,30.00000000,0.722222222,90,60,43.33333334
D16xE4,DxE,DaviesMom,EskDad,35.5C,70,25.85365854,0.688212928,90,64.14634146,44.14634146
E3xD10,ExD,EskMom,DaviesDad,35.5C,70.32258065,25.85365854,0.693241752,90,64.14634146,44.46892211
E4xE5,ExE,EskMom,EskDad,27.5C,79.21146953,34.61538462,0.805207089,90,55.38461538,44.59608492
E3xK9,ExK,EskMom,KeppelsDad,35.5C,77.77777778,30.00000000,0.796296296,90,60,47.77777778
E3xD12,ExD,EskMom,DaviesDad,35.5C,73.66013072,25.85365854,0.745272,90,64.14634146,47.80647218
D16xE5,DxE,DaviesMom,EskDad,35.5C,73.69175627,25.85365854,0.745765022,90,64.14634146,47.83809773
D20xK3,DxK,DaviesMom,KeppelsDad,35.5C,85.55555556,35.85365854,0.917917918,90,54.14634146,49.70189702
E4xD11,ExD,EskMom,DaviesDad,35.5C,75.55555556,25.85365854,0.774820448,90,64.14634146,49.70189702
D16xE3,DxE,DaviesMom,EskDad,35.5C,76.09318997,25.85365854,0.783201821,90,64.14634146,50.23953143
E1xK1,ExK,EskMom,KeppelsDad,35.5C,82.22222222,30.00000000,0.87037037,90,60,52.22222222
E1xK8,ExK,EskMom,KeppelsDad,35.5C,83.4502924,30.00000000,0.890838207,90,60,53.4502924
